#kurzPlan 1;LangPlan1
0.1;400;3000;0.3;400;3000
0.1;400;3000;0.3;400;3000
0.1; 400; 3000; 0.3; 400; 3000
0.1;400;3000;0.3;400;3000
0.2;400;3000;0.4;400;3000
0.2;400;3000;0.4;400;3000
0.2;400;3000;0.4;400;3000
0.6;400;3000;0.8;1000;3000
0.6;400;3000;0.8;1000;3000
0.6;400;3000;0.8;1000;3000
#kurzPlan 2;LangPlan2
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
0.0;0;0;0.0;0;0
#kurzPlan 3;LangPlan3
0.1;200;3000;0.3;400;3000
0.2;200;3000;0.4;400;3000
0.3;200;3000;0.5;400;3000
0.4;200;3000;0.6;400;3000
0.5;200;3000;0.7;400;3000
0.6;200;3000;0.8;400;3000
0.7;200;3000;0.9;400;3000
0.8;200;3000;1.0;1000;3000
0.9;200;3000;1.1;1000;3000
1.0;200;3000;1.2;1000;3000
